value,region,sub_region,asset_id
Gunfire Time: Time Trial (Posterior),SoulGlad™ Scorchsand Audition Venue,Penacony,loc_penacony
Superstar Showdown: Arena I,SoulGlad™ Scorchsand Audition Venue,Penacony,loc_penacony
Superstar Showdown: Arena I,SoulGlad™ Scorchsand Audition Venue,Penacony,loc_penacony
Superstar Showdown: Arena II,SoulGlad™ Scorchsand Audition Venue,Penacony,loc_penacony
Superstar Showdown: Arena II,SoulGlad™ Scorchsand Audition Venue,Penacony,loc_penacony
Dreamplay Fantasia: Acting Challenge,Dreamplay Fantasia: Acting Challenge,Penacony,loc_penacony
Dreamplay Fantasia: Acting Challenge,Dreamplay Fantasia: Acting Challenge,Penacony,loc_penacony
Dreamplay Fantasia: Acting Challenge,Dreamplay Fantasia: Acting Challenge,Penacony,loc_penacony
Dreamplay Fantasia: Action Challenge,Dreamplay Fantasia: Action Challenge,Penacony,loc_penacony
Dreamplay Fantasia: Action Challenge,Dreamplay Fantasia: Action Challenge,Penacony,loc_penacony
Dreamplay Fantasia: Action Challenge,Dreamplay Fantasia: Action Challenge,Penacony,loc_penacony
Gunfire Time: Gunfire Trial,Gunfire Time: Gunfire Trial,Penacony,loc_penacony
Gunfire Time: Gunfire Trial,Gunfire Time: Gunfire Trial,Penacony,loc_penacony
Gunfire Time: Gunfire Trial,Gunfire Time: Gunfire Trial,Penacony,loc_penacony
Gunfire Time: Time Trial,Gunfire Time: Time Trial,Penacony,loc_penacony
Gunfire Time: Time Trial,Gunfire Time: Time Trial,Penacony,loc_penacony
Gunfire Time: Time Trial,Gunfire Time: Time Trial,Penacony,loc_penacony
Gunfire Time: Time Trial (Posterior),Gunfire Time: Time Trial,Penacony,loc_penacony
Superstar Showdown: Arena I,Superstar Showdown: Arena I,Penacony,loc_penacony
Superstar Showdown: Arena I,Superstar Showdown: Arena I,Penacony,loc_penacony
Superstar Showdown: Arena I,Superstar Showdown: Arena I,Penacony,loc_penacony
Superstar Showdown: Arena II,Superstar Showdown: Arena II,Penacony,loc_penacony
Superstar Showdown: Arena II,Superstar Showdown: Arena II,Penacony,loc_penacony
Superstar Showdown: Arena II,Superstar Showdown: Arena II,Penacony,loc_penacony
Penacony Grand Theater,Penacony Grand Theater,Penacony,loc_penacony
Penacony Grand Theater,Penacony Grand Theater,Penacony,loc_penacony
Ascension Hallway,Penacony Grand Theater,Penacony,loc_penacony
Communing Hall,Penacony Grand Theater,Penacony,loc_penacony
Hall of Chords,Penacony Grand Theater,Penacony,loc_penacony
Saloon of Gospels,Penacony Grand Theater,Penacony,loc_penacony
"Act II, Present",Penacony Grand Theater,Penacony,loc_penacony
The Radiant Feldspar,The Radiant Feldspar,Penacony,loc_penacony
The Radiant Feldspar,The Radiant Feldspar,Penacony,loc_penacony
Aft Pool,The Radiant Feldspar,Penacony,loc_penacony
Cockpit,The Radiant Feldspar,Penacony,loc_penacony
Divergent Universe: Terminal Interface,The Radiant Feldspar,Penacony,loc_penacony
Main Banquet Hall,The Radiant Feldspar,Penacony,loc_penacony
Midship Lounge,The Radiant Feldspar,Penacony,loc_penacony
Origami Bird Battle Lobby,The Radiant Feldspar,Penacony,loc_penacony
Penacony Paperfold University College,Penacony Paperfold University College,Penacony,loc_penacony
Penacony Paperfold University College,Penacony Paperfold University College,Penacony,loc_penacony
Chromasweven Avenue,Penacony Paperfold University College,Penacony,loc_penacony
Creator's Market,Penacony Paperfold University College,Penacony,loc_penacony
Cultural Corridor,Penacony Paperfold University College,Penacony,loc_penacony
Glaux Sculpture,Penacony Paperfold University College,Penacony,loc_penacony
Dean's Office,Penacony Paperfold University College,Penacony,loc_penacony
Dawn,Dawn,Amphoreus,loc_amphoreus
Dawn,Dawn,Amphoreus,loc_amphoreus
Eternal Holy City Okhema,Dawn,Amphoreus,loc_amphoreus
Chimera Management Center,Dawn,Amphoreus,loc_amphoreus
Court of Seasons,Dawn,Amphoreus,loc_amphoreus
Hall of Respite,Dawn,Amphoreus,loc_amphoreus
Hero's Bath,Dawn,Amphoreus,loc_amphoreus
Garden of Life,Dawn,Amphoreus,loc_amphoreus
Kephale Plaza,Dawn,Amphoreus,loc_amphoreus
Marmoreal Market,Dawn,Amphoreus,loc_amphoreus
Marmoreal Palace,Dawn,Amphoreus,loc_amphoreus
Overflowing Bath,Dawn,Amphoreus,loc_amphoreus
Path of Parting,Dawn,Amphoreus,loc_amphoreus
Bloodbathed Battlefront Castrum Kremnos,Dawn,Amphoreus,loc_amphoreus
Chisel Zone,Dawn,Amphoreus,loc_amphoreus
Excavation Ground,Dawn,Amphoreus,loc_amphoreus
Hall of Strife,Dawn,Amphoreus,loc_amphoreus
Path of Conquest,Dawn,Amphoreus,loc_amphoreus
Soul-Forging Gate,Dawn,Amphoreus,loc_amphoreus
Sanctum of Prophecy Janusopolis,Dawn,Amphoreus,loc_amphoreus
Archive of Prophecies,Dawn,Amphoreus,loc_amphoreus
Destiny's Gate,Dawn,Amphoreus,loc_amphoreus
End of the Gate,Dawn,Amphoreus,loc_amphoreus
Hidden Passage of Contemplation,Dawn,Amphoreus,loc_amphoreus
Theophany Altar,Dawn,Amphoreus,loc_amphoreus
Worshiper's Footpath,Dawn,Amphoreus,loc_amphoreus
Demigod Council Dawncloud,Dawn,Amphoreus,loc_amphoreus
Demigod Council,Dawn,Amphoreus,loc_amphoreus
Demigod Council: Forecourt,Dawn,Amphoreus,loc_amphoreus
Sacred Path of Dawncloud,Dawn,Amphoreus,loc_amphoreus
Titan Cliff: Entrance,Dawn,Amphoreus,loc_amphoreus
Worldbearing Altar: Audience Hall,Dawn,Amphoreus,loc_amphoreus
Fortress of Dome Eye of Twilight,Dawn,Amphoreus,loc_amphoreus
Arching BoneMech,Dawn,Amphoreus,loc_amphoreus
Celestial Mural,Dawn,Amphoreus,loc_amphoreus
End of Neon,Dawn,Amphoreus,loc_amphoreus
Frontier Corridor,Dawn,Amphoreus,loc_amphoreus
Frontier Roof,Dawn,Amphoreus,loc_amphoreus
Frontier Well,Dawn,Amphoreus,loc_amphoreus
Eternal Holy City Okhema,Eternal Holy City Okhema,Amphoreus,loc_amphoreus
Eternal Holy City Okhema,Eternal Holy City Okhema,Amphoreus,loc_amphoreus
Chimera Management Center,Eternal Holy City Okhema,Amphoreus,loc_amphoreus
Court of Seasons,Eternal Holy City Okhema,Amphoreus,loc_amphoreus
Hall of Respite,Eternal Holy City Okhema,Amphoreus,loc_amphoreus
Hero's Bath,Eternal Holy City Okhema,Amphoreus,loc_amphoreus
Garden of Life,Eternal Holy City Okhema,Amphoreus,loc_amphoreus
Kephale Plaza,Eternal Holy City Okhema,Amphoreus,loc_amphoreus
Marmoreal Market,Eternal Holy City Okhema,Amphoreus,loc_amphoreus
Marmoreal Palace,Eternal Holy City Okhema,Amphoreus,loc_amphoreus
Overflowing Bath,Eternal Holy City Okhema,Amphoreus,loc_amphoreus
Path of Parting,Eternal Holy City Okhema,Amphoreus,loc_amphoreus
Bloodbathed Battlefront Castrum Kremnos,Bloodbathed Battlefront Castrum Kremnos,Amphoreus,loc_amphoreus
Bloodbathed Battlefront Castrum Kremnos,Bloodbathed Battlefront Castrum Kremnos,Amphoreus,loc_amphoreus
Chisel Zone,Bloodbathed Battlefront Castrum Kremnos,Amphoreus,loc_amphoreus
Excavation Ground,Bloodbathed Battlefront Castrum Kremnos,Amphoreus,loc_amphoreus
Hall of Strife,Bloodbathed Battlefront Castrum Kremnos,Amphoreus,loc_amphoreus
Path of Conquest,Bloodbathed Battlefront Castrum Kremnos,Amphoreus,loc_amphoreus
Soul-Forging Gate,Bloodbathed Battlefront Castrum Kremnos,Amphoreus,loc_amphoreus
Sanctum of Prophecy Janusopolis,Sanctum of Prophecy Janusopolis,Amphoreus,loc_amphoreus
Sanctum of Prophecy Janusopolis,Sanctum of Prophecy Janusopolis,Amphoreus,loc_amphoreus
Archive of Prophecies,Sanctum of Prophecy Janusopolis,Amphoreus,loc_amphoreus
Destiny's Gate,Sanctum of Prophecy Janusopolis,Amphoreus,loc_amphoreus
End of the Gate,Sanctum of Prophecy Janusopolis,Amphoreus,loc_amphoreus
Hidden Passage of Contemplation,Sanctum of Prophecy Janusopolis,Amphoreus,loc_amphoreus
Theophany Altar,Sanctum of Prophecy Janusopolis,Amphoreus,loc_amphoreus
Worshiper's Footpath,Sanctum of Prophecy Janusopolis,Amphoreus,loc_amphoreus
Demigod Council Dawncloud,Demigod Council Dawncloud,Amphoreus,loc_amphoreus
Demigod Council Dawncloud,Demigod Council Dawncloud,Amphoreus,loc_amphoreus
Demigod Council,Demigod Council Dawncloud,Amphoreus,loc_amphoreus
Demigod Council: Forecourt,Demigod Council Dawncloud,Amphoreus,loc_amphoreus
Sacred Path of Dawncloud,Demigod Council Dawncloud,Amphoreus,loc_amphoreus
Titan Cliff: Entrance,Demigod Council Dawncloud,Amphoreus,loc_amphoreus
Worldbearing Altar: Audience Hall,Demigod Council Dawncloud,Amphoreus,loc_amphoreus
Fortress of Dome Eye of Twilight,Fortress of Dome Eye of Twilight,Amphoreus,loc_amphoreus
Fortress of Dome Eye of Twilight,Fortress of Dome Eye of Twilight,Amphoreus,loc_amphoreus
Arching BoneMech,Fortress of Dome Eye of Twilight,Amphoreus,loc_amphoreus
Celestial Mural,Fortress of Dome Eye of Twilight,Amphoreus,loc_amphoreus
End of Neon,Fortress of Dome Eye of Twilight,Amphoreus,loc_amphoreus
Frontier Corridor,Fortress of Dome Eye of Twilight,Amphoreus,loc_amphoreus
Frontier Roof,Fortress of Dome Eye of Twilight,Amphoreus,loc_amphoreus
Frontier Well,Fortress of Dome Eye of Twilight,Amphoreus,loc_amphoreus
Evernight,Evernight,Amphoreus,loc_amphoreus
Evernight,Evernight,Amphoreus,loc_amphoreus
Fallen Twilight City Okhema,Evernight,Amphoreus,loc_amphoreus
Frostlight Bath Chamber,Evernight,Amphoreus,loc_amphoreus
Mirage Cove,Evernight,Amphoreus,loc_amphoreus
Nightshade Courtyard,Evernight,Amphoreus,loc_amphoreus
Reverie Bath,Evernight,Amphoreus,loc_amphoreus
Road of Sunset,Evernight,Amphoreus,loc_amphoreus
Sentinel Plaza,Evernight,Amphoreus,loc_amphoreus
Silent Night's Market,Evernight,Amphoreus,loc_amphoreus
Tranquil Waters,Evernight,Amphoreus,loc_amphoreus
Whispering Hall,Evernight,Amphoreus,loc_amphoreus
Strife Ruins Castrum Kremnos,Evernight,Amphoreus,loc_amphoreus
Conquered Outlands,Evernight,Amphoreus,loc_amphoreus
Kremnos Arena,Evernight,Amphoreus,loc_amphoreus
Old Quarry Ground,Evernight,Amphoreus,loc_amphoreus
Remnant Hall of Truce,Evernight,Amphoreus,loc_amphoreus
Silent Chisel Ground,Evernight,Amphoreus,loc_amphoreus
Soul-Forging Ruins,Evernight,Amphoreus,loc_amphoreus
Soulchaser Pass,Evernight,Amphoreus,loc_amphoreus
Abyss of Fate Janusopolis,Evernight,Amphoreus,loc_amphoreus
Destiny's Desolation,Evernight,Amphoreus,loc_amphoreus
Dreamshroud Mausoleum,Evernight,Amphoreus,loc_amphoreus
Everdream Gate,Evernight,Amphoreus,loc_amphoreus
Silent Shroud,Evernight,Amphoreus,loc_amphoreus
Theophany Chamber,Evernight,Amphoreus,loc_amphoreus
Murmuring Woods Grove of Epiphany,Evernight,Amphoreus,loc_amphoreus
Dome of Devotion,Evernight,Amphoreus,loc_amphoreus
Library of Philia,Evernight,Amphoreus,loc_amphoreus
Luminary Throne,Evernight,Amphoreus,loc_amphoreus
Serene Court of Learning,Evernight,Amphoreus,loc_amphoreus
Woven Trail,Evernight,Amphoreus,loc_amphoreus
Lightless Chapel Dawncloud,Evernight,Amphoreus,loc_amphoreus
Apocalypse Altar,Evernight,Amphoreus,loc_amphoreus
Eve's Holy Pass,Evernight,Amphoreus,loc_amphoreus
Lightless Chapel,Evernight,Amphoreus,loc_amphoreus
Lightless Chapel: Vestibule,Evernight,Amphoreus,loc_amphoreus
Mourning Heights: Entrance,Evernight,Amphoreus,loc_amphoreus
Dragonbone City Styxia,Evernight,Amphoreus,loc_amphoreus
Ancient City Main Gate,Evernight,Amphoreus,loc_amphoreus
Ancient City Market,Evernight,Amphoreus,loc_amphoreus
Royal Palace Ruins,Evernight,Amphoreus,loc_amphoreus
Temple of Ages,Evernight,Amphoreus,loc_amphoreus
Treasure Vault Secret Passage,Evernight,Amphoreus,loc_amphoreus
Twin Moon Spire,Evernight,Amphoreus,loc_amphoreus
The Sea of Flowers in Memory,Evernight,Amphoreus,loc_amphoreus
Cloudedge Bastion Ruins Eye of Twilight,Evernight,Amphoreus,loc_amphoreus
Aurous Perch,Evernight,Amphoreus,loc_amphoreus
Aurous Pool,Evernight,Amphoreus,loc_amphoreus
Bastion Depth,Evernight,Amphoreus,loc_amphoreus
Bastion Well,Evernight,Amphoreus,loc_amphoreus
Nightspire BoneMech,Evernight,Amphoreus,loc_amphoreus
Nightwail Ruins,Evernight,Amphoreus,loc_amphoreus
Fallen Twilight City Okhema,Fallen Twilight City Okhema,Amphoreus,loc_amphoreus
Fallen Twilight City Okhema,Fallen Twilight City Okhema,Amphoreus,loc_amphoreus
Frostlight Bath Chamber,Fallen Twilight City Okhema,Amphoreus,loc_amphoreus
Mirage Cove,Fallen Twilight City Okhema,Amphoreus,loc_amphoreus
Nightshade Courtyard,Fallen Twilight City Okhema,Amphoreus,loc_amphoreus
Reverie Bath,Fallen Twilight City Okhema,Amphoreus,loc_amphoreus
Road of Sunset,Fallen Twilight City Okhema,Amphoreus,loc_amphoreus
Sentinel Plaza,Fallen Twilight City Okhema,Amphoreus,loc_amphoreus
Silent Night's Market,Fallen Twilight City Okhema,Amphoreus,loc_amphoreus
Tranquil Waters,Fallen Twilight City Okhema,Amphoreus,loc_amphoreus
Whispering Hall,Fallen Twilight City Okhema,Amphoreus,loc_amphoreus
Strife Ruins Castrum Kremnos,Strife Ruins Castrum Kremnos,Amphoreus,loc_amphoreus
Strife Ruins Castrum Kremnos,Strife Ruins Castrum Kremnos,Amphoreus,loc_amphoreus
Conquered Outlands,Strife Ruins Castrum Kremnos,Amphoreus,loc_amphoreus
Kremnos Arena,Strife Ruins Castrum Kremnos,Amphoreus,loc_amphoreus
Old Quarry Ground,Strife Ruins Castrum Kremnos,Amphoreus,loc_amphoreus
Remnant Hall of Truce,Strife Ruins Castrum Kremnos,Amphoreus,loc_amphoreus
Silent Chisel Ground,Strife Ruins Castrum Kremnos,Amphoreus,loc_amphoreus
Soul-Forging Ruins,Strife Ruins Castrum Kremnos,Amphoreus,loc_amphoreus
Soulchaser Pass,Strife Ruins Castrum Kremnos,Amphoreus,loc_amphoreus
Abyss of Fate Janusopolis,Abyss of Fate Janusopolis,Amphoreus,loc_amphoreus
Abyss of Fate Janusopolis,Abyss of Fate Janusopolis,Amphoreus,loc_amphoreus
Destiny's Desolation,Abyss of Fate Janusopolis,Amphoreus,loc_amphoreus
Dreamshroud Mausoleum,Abyss of Fate Janusopolis,Amphoreus,loc_amphoreus
Everdream Gate,Abyss of Fate Janusopolis,Amphoreus,loc_amphoreus
Silent Shroud,Abyss of Fate Janusopolis,Amphoreus,loc_amphoreus
Theophany Chamber,Abyss of Fate Janusopolis,Amphoreus,loc_amphoreus
Murmuring Woods Grove of Epiphany,Murmuring Woods Grove of Epiphany,Amphoreus,loc_amphoreus
Murmuring Woods Grove of Epiphany,Murmuring Woods Grove of Epiphany,Amphoreus,loc_amphoreus
Dome of Devotion,Murmuring Woods Grove of Epiphany,Amphoreus,loc_amphoreus
Library of Philia,Murmuring Woods Grove of Epiphany,Amphoreus,loc_amphoreus
Luminary Throne,Murmuring Woods Grove of Epiphany,Amphoreus,loc_amphoreus
Serene Court of Learning,Murmuring Woods Grove of Epiphany,Amphoreus,loc_amphoreus
Woven Trail,Murmuring Woods Grove of Epiphany,Amphoreus,loc_amphoreus
Lightless Chapel Dawncloud,Lightless Chapel Dawncloud,Amphoreus,loc_amphoreus
Lightless Chapel Dawncloud,Lightless Chapel Dawncloud,Amphoreus,loc_amphoreus
Apocalypse Altar,Lightless Chapel Dawncloud,Amphoreus,loc_amphoreus
Eve's Holy Pass,Lightless Chapel Dawncloud,Amphoreus,loc_amphoreus
Lightless Chapel,Lightless Chapel Dawncloud,Amphoreus,loc_amphoreus
Lightless Chapel: Vestibule,Lightless Chapel Dawncloud,Amphoreus,loc_amphoreus
Mourning Heights: Entrance,Lightless Chapel Dawncloud,Amphoreus,loc_amphoreus
Dragonbone City Styxia,Dragonbone City Styxia,Amphoreus,loc_amphoreus
Dragonbone City Styxia,Dragonbone City Styxia,Amphoreus,loc_amphoreus
Ancient City Main Gate,Dragonbone City Styxia,Amphoreus,loc_amphoreus
Ancient City Market,Dragonbone City Styxia,Amphoreus,loc_amphoreus
Royal Palace Ruins,Dragonbone City Styxia,Amphoreus,loc_amphoreus
Temple of Ages,Dragonbone City Styxia,Amphoreus,loc_amphoreus
Treasure Vault Secret Passage,Dragonbone City Styxia,Amphoreus,loc_amphoreus
Twin Moon Spire,Dragonbone City Styxia,Amphoreus,loc_amphoreus
The Sea of Flowers in Memory,Dragonbone City Styxia,Amphoreus,loc_amphoreus
Cloudedge Bastion Ruins Eye of Twilight,Cloudedge Bastion Ruins Eye of Twilight,Amphoreus,loc_amphoreus
Cloudedge Bastion Ruins Eye of Twilight,Cloudedge Bastion Ruins Eye of Twilight,Amphoreus,loc_amphoreus
Aurous Perch,Cloudedge Bastion Ruins Eye of Twilight,Amphoreus,loc_amphoreus
Aurous Pool,Cloudedge Bastion Ruins Eye of Twilight,Amphoreus,loc_amphoreus
Bastion Depth,Cloudedge Bastion Ruins Eye of Twilight,Amphoreus,loc_amphoreus
Bastion Well,Cloudedge Bastion Ruins Eye of Twilight,Amphoreus,loc_amphoreus
Nightspire BoneMech,Cloudedge Bastion Ruins Eye of Twilight,Amphoreus,loc_amphoreus
Nightwail Ruins,Cloudedge Bastion Ruins Eye of Twilight,Amphoreus,loc_amphoreus
Outworld,Outworld,Amphoreus,loc_amphoreus
Outworld,Outworld,Amphoreus,loc_amphoreus
Vortex of Genesis,Outworld,Amphoreus,loc_amphoreus
World Breeding Meridian,Outworld,Amphoreus,loc_amphoreus
Vortex of Genesis,Vortex of Genesis,Amphoreus,loc_amphoreus
Vortex of Genesis,Vortex of Genesis,Amphoreus,loc_amphoreus
World Breeding Meridian,Vortex of Genesis,Amphoreus,loc_amphoreus
Domain - Combat,Domain - Combat,Simulated universe,loc_su
Domain - Elite,Domain - Elite,Simulated universe,loc_su
Domain - Respite,Domain - Respite,Simulated universe,loc_su
Domain - Occurrence,Domain - Occurrence,Simulated universe,loc_su
Domain - Encounter,Domain - Encounter,Simulated universe,loc_su
Domain - Boss,Domain - Boss,Simulated universe,loc_su
Domain - Transaction,Domain - Transaction,Simulated universe,loc_su
Parlor Car,Parlor Car,Astral Express,loc_parlor_car
Passenger Cabin,Passenger Cabin,Astral Express,loc_parlor_car
Party Car,Party Car,Astral Express,loc_parlor_car
